약품명,업체명,규격,전문일반구분,특수관리약품구분,ATC코드,품목기준코드,운전위험등급,매칭성분,약물분류
감소청캅셀,(주)한국파비스바이오텍,150밀리그램,일반의약품,향정신성의약품,,200202248.0,운전금지,향정신성의약품,향정신성의약품
건일디아제팜정2밀리그람,건일제약(주),2밀리그램,전문의약품,해당사항없음,,197900541.0,운전금지,디아제팜,항불안제
건일디아제팜정5mg,건일제약(주),5밀리그램,전문의약품,해당사항없음,,197900542.0,운전금지,디아제팜,항불안제
경동캄펙스주50밀리그램(트라마돌염산염),경동제약(주),50밀리그램,전문의약품,해당사항없음,N02AX02,198801776.0,운전금지,트라마돌,마약성진통제
경인인산코데인,(주)경인제약,1그램,,,,198501818.0,운전금지,코데인,마약성진통제
구주구연산수펜타닐주,구주제약(주),1밀리리터,전문의약품,마약,,199907272.0,운전금지,마약,마약
구주구연산펜타닐주사,구주제약(주),2밀리리터,전문의약품,마약,N01AH01,199604972.0,운전금지,마약,마약
구주구연산펜타닐주사(수출용),구주제약(주),2밀리리터,전문의약품,마약,N01AH01,202004965.0,운전금지,마약,마약
구주디아제팜주사,구주제약(주),2밀리리터,전문의약품,향정신성의약품,,200109962.0,운전금지,향정신성의약품,향정신성의약품
구주알펜타닐주(염산알펜타닐),구주제약(주),2밀리리터,전문의약품,마약,N01AH02,200009376.0,운전금지,마약,마약
구주염산날부핀주사10밀리그람,구주제약(주),10밀리그램,전문의약품,향정신성의약품,,200109960.0,운전금지,향정신성의약품,향정신성의약품
구주염산날부핀주사20밀리그람,구주제약(주),20밀리그램,전문의약품,향정신성의약품,,200109961.0,운전금지,향정신성의약품,향정신성의약품
구주염산모르핀주,구주제약(주),1밀리리터,전문의약품,마약,N02AA01,200308503.0,운전금지,마약,마약
구주염산페치딘주,구주제약(주),0.5밀리리터,전문의약품,마약,N02AB02,199604973.0,운전금지,마약,마약
구주인산코데인정,구주제약(주),20밀리그램,전문의약품,마약,R05DA04,199806858.0,운전금지,마약,마약
구주주석산수소디히드로코데인서방정,구주제약(주),60밀리그램,전문의약품,마약,,199907271.0,운전금지,마약,마약
